t wx wy wz ax ay az

0.0 0.00118964 0.012516 -0.0108972 -0.213494 -0.0687522 9.92369
0.001 -0.0121308 0.00243902 -0.0144287 -0.208243 -0.199117 10.096
0.002 0.00234129 0.0188281 -0.0160361 -0.443184 -0.0900252 9.85444
0.003 0.0136581 -0.0130764 -0.00760387 -0.0503038 -0.16125 9.76641
0.004 -0.0113243 -0.00590811 -0.00512712 -0.330462 -0.174531 9.88537
0.005 0.00378478 0.00598726 -0.000618833 -0.0404924 -0.053435 9.84453
0.006 0.00610694 0.00425971 -0.00310425 -0.244949 -0.0370696 9.87277
0.007 -0.00363612 -0.00641911 0.00418464 -0.179558 0.0313914 9.9174
0.008 0.00298635 0.00194534 -0.0188894 -0.232425 -0.238852 9.9455
0.009 -0.0112721 0.00928434 -0.0114536 -0.239042 -0.220984 9.77997
0.01 -0.00752275 0.00169671 -0.0107029 -0.112119 -0.290135 9.97034
0.011 0.0106885 0.000201211 -0.0193371 -0.178372 -0.356114 9.81001
0.012 -0.00488472 -0.00132867 0.0120168 -0.355309 -0.389466 9.74621
0.013 0.00808754 0.0211365 0.0258504 -0.193144 -0.220646 9.57058
0.014 0.0226924 0.0242578 -0.00587611 -0.154888 -0.305878 9.87052
0.015 -0.007789 -0.004487 0.00755352 -0.199136 -0.168805 10.0169
0.016 0.00728528 0.0092678 -0.00551483 -0.366412 0.11466 10.0001
0.017 -0.020102 0.00106462 0.00288616 -0.317086 -0.269516 9.8339
0.018 0.00554166 -0.000813172 -0.0113363 -0.199178 -0.150964 9.89829
0.019 0.00608253 0.00856511 -0.00100036 -0.165097 -0.484334 10.0403
0.02 0.0110574 0.0141355 0.0181977 -0.152792 -0.157559 9.71463
0.021 0.0027616 -0.00351669 0.0038443 -0.314982 -0.196035 9.94859
0.022 0.0138329 0.0271081 -0.011856 -0.128664 -0.0710397 9.94684
0.023 -0.00603426 0.0154276 -0.0235524 -0.517392 -0.234141 9.91962
0.024 -0.00909131 0.0139742 0.0044515 -0.0644321 -0.277954 9.95001
0.025 -0.00532548 0.017015 -0.00692667 -0.300204 -0.316393 9.973
0.026 -0.0273021 0.00626734 -0.000248733 -0.234514 -0.0749008 9.93953
0.027 0.0180985 0.000928003 -0.00207415 -0.28558 0.0403955 9.88318
0.028 -0.00982303 0.00877748 0.00186507 -0.320233 -0.00501039 9.70205
0.029 -0.0020877 0.00378654 0.00421965 -0.285948 -0.239141 9.85713
0.03 0.0156212 -0.0027243 0.00111969 -0.249542 -0.0459532 9.80494
0.031 -0.00465334 -0.00775558 -0.00277444 -0.131974 -0.0762966 9.58946
0.032 -0.00763704 -0.00343051 0.0124351 -0.200976 -0.166869 9.78391
0.033 0.00889293 0.0212177 -0.00141444 -0.260292 0.0510588 10.0117
0.034 0.0111867 0.00961771 0.00408174 -0.179311 -0.208828 9.91937
0.035 0.00273492 0.000558285 0.0184627 -0.274792 0.052909 9.89212
0.036 0.00838302 0.00175327 0.0102161 -0.272239 -0.386269 9.8475
0.037 0.00355498 -0.00487543 0.0103958 -0.340214 -0.0668539 9.90386
0.038 -0.000166063 0.00584376 0.0140617 -0.275433 -0.197583 9.87384
0.039 0.00133209 0.00448485 0.00489477 -0.208408 -0.112954 9.83869
0.04 0.021776 0.0013505 -0.00697126 -0.0460775 -0.453462 9.76248
0.041 0.00113913 0.00533574 0.0135918 -0.300098 -0.212174 9.73966
0.042 -0.00207627 0.00727571 -0.00404285 -0.22694 -0.181294 10.115
0.043 -0.00976186 0.00791333 -0.00275052 0.0325484 -0.0296225 10.0569
0.044 0.0100545 -0.00781641 0.00604225 -0.0938742 0.00636222 10.0037
0.045 -0.00261198 0.024541 -0.01882 -0.342542 -0.0597264 9.95081
0.047 -0.00990429 0.00224588 0.00880782 -0.400356 -0.258696 9.89081
0.048 0.00262135 0.00813555 -0.0128487 0.0725932 -0.1497 9.78646
0.049 -0.0210186 -0.00987833 0.0154624 -0.100045 -0.402748 9.92118
