t x y z yaw pitch roll vx vy vz wx wy wz

0.0 -4.00001 -4 2 0.75 7.68752e-10 -2.67645e-08 4.6389e-08 -1.08641e-08 2.77234e-07 -6.34611e-08 -1.28356e-07 -1.1198e-09
0.011 -4.00001 -4 2 0.75 3.18852e-10 -2.79652e-08 4.45479e-08 -8.85421e-09 2.78308e-07 -4.98848e-08 -1.02134e-07 -5.36484e-10
0.02 -4.00001 -4 2 0.75 -4.89892e-11 -2.8792e-08 4.25938e-08 -6.79085e-09 2.77452e-07 -2.16492e-08 -6.65375e-08 -1.44528e-10
0.03 -4.00001 -4 2 0.75 -3.77263e-10 -2.91363e-08 4.05784e-08 -4.70504e-09 2.75524e-07 1.20658e-08 -3.57663e-08 -8.45089e-11
0.04 -4.00001 -4 2 0.75 -7.46281e-10 -2.91476e-08 3.87417e-08 -2.83981e-09 2.73467e-07 3.85393e-08 -2.93501e-08 -1.33227e-10
0.05 -4.00001 -4 2 0.75 -1.40633e-09 -2.89899e-08 3.64834e-08 -6.14275e-10 2.71457e-07 5.79625e-08 -4.1085e-08 8.45218e-11
0.06 -4.00001 -4 2 0.75 -2.11188e-09 -2.89199e-08 3.46022e-08 1.15162e-09 2.70844e-07 5.88105e-08 -6.19983e-08 6.28255e-10
0.07 -4.00001 -4 2 0.75 -3.15666e-09 -2.90483e-08 3.22257e-08 3.24398e-09 2.70734e-07 5.48543e-08 -8.65148e-08 1.43596e-09
0.08 -4.00001 -4 2 0.75 -4.17054e-09 -2.92218e-08 2.9983e-08 5.0928e-09 2.71301e-07 5.89039e-08 -8.21561e-08 2.05775e-09
0.09 -4.00001 -4 2 0.75 -5.13205e-09 -2.92475e-08 2.76547e-08 6.88025e-09 2.71896e-07 6.81759e-08 -6.22656e-08 2.83813e-09
0.101 -4.00001 -4 2 0.75 -5.98808e-09 -2.90207e-08 2.52818e-08 8.59334e-09 2.723e-07 8.06996e-08 -3.35712e-08 3.74797e-09
0.11 -4.00001 -4 2 0.75 -6.70222e-09 -2.84766e-08 2.28638e-08 1.02302e-08 2.72483e-07 9.50816e-08 4.56669e-10 4.6913e-09
0.12 -4.00001 -4 2 0.75 -7.20821e-09 -2.76832e-08 2.06804e-08 1.16222e-08 2.72483e-07 1.08937e-07 3.38652e-08 5.52185e-09
0.13 -4.00001 -4 2 0.75 -7.66661e-09 -2.63603e-08 1.80694e-08 1.3207e-08 2.72821e-07 1.20127e-07 5.98585e-08 6.42506e-09
0.14 -4.00001 -4 2 0.75 -8.01526e-09 -2.52064e-08 1.59899e-08 1.43912e-08 2.73463e-07 1.19435e-07 5.5889e-08 7.1507e-09
0.15 -4.00001 -4 2 0.75 -8.51705e-09 -2.39339e-08 1.35308e-08 1.57008e-08 2.74135e-07 1.11775e-07 3.49147e-08 8.10972e-09
0.161 -4.00001 -4 2 0.75 -9.09514e-09 -2.30193e-08 1.13235e-08 1.6778e-08 2.74503e-07 1.01552e-07 6.98527e-09 9.00748e-09
0.17 -4.00001 -4 2 0.75 -9.81177e-09 -2.23761e-08 9.12383e-09 1.77549e-08 2.74047e-07 9.19669e-08 -1.9647e-08 9.99115e-09
0.18 -4.00001 -4 2 0.75 -1.06314e-08 -2.19255e-08 6.91113e-09 1.86423e-08 2.72101e-07 8.66763e-08 -3.61082e-08 1.14115e-08
0.19 -4.00001 -4 2 0.75 -1.14153e-08 -2.15921e-08 4.89281e-09 1.93651e-08 2.70483e-07 8.76845e-08 -3.71058e-08 1.27114e-08
0.2 -4.00001 -4 2 0.75 -1.23212e-08 -2.1049e-08 2.39089e-09 2.01521e-08 2.69703e-07 9.71456e-08 -1.53202e-08 1.40102e-08
0.21 -4.00001 -4 2 0.75 -1.30125e-08 -2.03072e-08 8.73431e-11 2.07701e-08 2.68662e-07 1.03167e-07 1.29959e-08 1.4886e-08
0.22 -4.00001 -4 2 0.75 -1.34901e-08 -1.93673e-08 -2.19919e-09 2.12863e-08 2.66443e-07 9.883e-08 4.27988e-08 1.53056e-08
0.23 -4.00001 -4 2 0.75 -1.37023e-08 -1.83037e-08 -4.4404e-09 2.17019e-08 2.62624e-07 8.52145e-08 6.632e-08 1.58116e-08
0.244 -4.00001 -4 2 0.75 -1.35933e-08 -1.68872e-08 -7.44082e-09 2.21366e-08 2.547e-07 5.44309e-08 7.83076e-08 1.6849e-08
0.25 -4.00001 -4 2 0.75 -1.3466e-08 -1.63534e-08 -8.6831e-09 2.22908e-08 2.51989e-07 4.88336e-08 7.38769e-08 1.7177e-08
0.26 -4.00001 -4 2 0.75 -1.33207e-08 -1.55454e-08 -1.06995e-08 2.25118e-08 2.4818e-07 5.12383e-08 5.77054e-08 1.75085e-08
0.27 -4.00001 -4 2 0.75 -1.33729e-08 -1.48138e-08 -1.26447e-08 2.26894e-08 2.44493e-07 6.30944e-08 3.61703e-08 1.76225e-08
0.28 -4.00001 -4 2 0.75 -1.36987e-08 -1.41306e-08 -1.4555e-08 2.28037e-08 2.40601e-07 8.02841e-08 1.12928e-08 1.77491e-08
0.29 -4.00001 -4 2 0.75 -1.4323e-08 -1.34841e-08 -1.64362e-08 2.2833e-08 2.36945e-07 9.52039e-08 -8.99638e-09 1.78665e-08
0.3 -4.00001 -4 2 0.75 -1.505e-08 -1.28568e-08 -1.83415e-08 2.27703e-08 2.34289e-07 9.36752e-08 -9.27251e-09 1.78977e-08
0.31 -4.00001 -4 2 0.75 -1.56749e-08 -1.22369e-08 -2.02627e-08 2.26136e-08 2.3157e-07 8.19839e-08 2.41542e-09 1.78129e-08
0.32 -4.00001 -4 2 0.75 -1.60803e-08 -1.16152e-08 -2.21717e-08 2.23786e-08 2.28417e-07 6.51401e-08 2.17299e-08 1.77296e-08
0.33 -4.00001 -4 2 0.75 -1.62024e-08 -1.09895e-08 -2.40595e-08 2.20751e-08 2.24796e-07 4.4791e-08 4.37441e-08 1.77178e-08
0.34 -4.00001 -4 2 0.75 -1.60043e-08 -1.03629e-08 -2.58917e-08 2.17226e-08 2.20782e-07 2.19129e-08 6.84891e-08 1.77316e-08
0.35 -4.00001 -4 2 0.75 -1.54926e-08 -9.73532e-09 -2.76674e-08 2.13548e-08 2.17147e-07 5.24998e-09 8.65378e-08 1.77138e-08
0.36 -4.00001 -4 2 0.75 -1.48892e-08 -9.10595e-09 -2.9354e-08 2.09872e-08 2.14508e-07 6.74413e-09 8.53742e-08 1.75731e-08
0.371 -4.00001 -4 2 0.75 -1.43942e-08 -8.46932e-09 -3.09482e-08 2.06168e-08 2.11771e-07 1.88599e-08 7.35273e-08 1.75116e-08
0.381 -4.00001 -4 2 0.75 -1.4122e-08 -7.82912e-09 -3.24591e-08 2.02255e-08 2.08591e-07 3.66137e-08 5.47019e-08 1.75147e-08
0.39 -4.00001 -4 2 0.75 -1.41105e-08 -7.17841e-09 -3.39144e-08 1.97993e-08 2.05297e-07 5.45733e-08 3.93015e-08 1.71281e-08
0.4 -4.00001 -4 2 0.75 -1.4276e-08 -6.48144e-09 -3.53423e-08 1.93222e-08 2.02071e-07 6.79818e-08 3.32051e-08 1.59524e-08
0.41 -4.00001 -4 2 0.75 -1.45197e-08 -5.7435e-09 -3.67333e-08 1.87799e-08 1.98965e-07 6.9944e-08 3.37255e-08 1.46191e-08
0.42 -4.00001 -4 2 0.75 -1.46738e-08 -5.01769e-09 -3.80926e-08 1.81651e-08 1.96044e-07 5.68673e-08 4.28172e-08 1.39197e-08
0.43 -4.00001 -4 2 0.75 -1.46375e-08 -4.40191e-09 -3.92681e-08 1.75574e-08 1.93147e-07 3.89506e-08 5.5803e-08 1.35899e-08
0.44 -4.00001 -4 2 0.75 -1.4286e-08 -3.69838e-09 -4.06525e-08 1.67767e-08 1.89148e-07 1.30338e-08 7.68855e-08 1.33322e-08
0.45 -4.00001 -4 2 0.75 -1.37491e-08 -3.17027e-09 -4.17252e-08 1.61264e-08 1.8691e-07 -5.23446e-09 8.58833e-08 1.33218e-08
0.46 -4.00001 -4 2 0.75 -1.3056e-08 -2.71049e-09 -4.28216e-08 1.54156e-08 1.86299e-07 -1.97239e-08 7.69323e-08 1.35927e-08
0.47 -4.00001 -4 2 0.75 -1.23368e-08 -2.42745e-09 -4.39407e-08 1.46561e-08 1.85759e-07 -2.82884e-08 5.4646e-08 1.41458e-08
0.48 -4.00001 -4 2 0.75 -1.18506e-08 -2.33788e-09 -4.48823e-08 1.39922e-08 1.8401e-07 -2.39038e-08 3.09447e-08 1.45303e-08
0.49 -4.00001 -4 2 0.75 -1.15735e-08 -2.28683e-09 -4.58098e-08 1.3361e-08 1.81728e-07 -4.97306e-09 2.30131e-08 1.46553e-08
0.5 -4.00001 -4 2 0.75 -1.14322e-08 -1.97677e-09 -4.67248e-08 1.27401e-08 1.79144e-07 2.94128e-08 4.11065e-08 1.45011e-08
0.51 -4.00001 -4 2 0.75 -1.13241e-08 -1.27078e-09 -4.75931e-08 1.20929e-08 1.7654e-07 5.22837e-08 6.81324e-08 1.44572e-08
0.52 -4.00001 -4 2 0.75 -1.10919e-08 -3.06379e-10 -4.83939e-08 1.13875e-08 1.73775e-07 5.46145e-08 9.45404e-08 1.45737e-08
0.533 -4.00001 -4 2 0.75 -1.05194e-08 9.87102e-10 -4.92785e-08 1.03839e-08 1.70239e-07 2.74e-08 9.66213e-08 1.45606e-08
0.54 -4.00001 -4 2 0.75 -1.01303e-08 1.47606e-09 -4.96902e-08 9.82079e-09 1.68212e-07 1.85717e-09 8.0932e-08 1.44717e-08
0.55 -4.00001 -4 2 0.75 -9.51869e-09 1.74779e-09 -5.02096e-08 9.01735e-09 1.64936e-07 -4.2147e-08 4.74118e-08 1.42145e-08
0.56 -4.00001 -4 2 0.75 -8.93133e-09 1.47773e-09 -5.06303e-08 8.32731e-09 1.61605e-07 -8.65121e-08 1.02875e-08 1.40745e-08
