x y z

-4.00001 -4 2
-4.00001 -4 2
-4 -4 2
-4 -4 2
-4 -4 2
-4 -4 2
-3.99999 -4 2
-3.99997 -3.99999 2
-3.99995 -3.99999 2.00001
-3.99991 -3.99998 2.00001
-3.99986 -3.99996 2.00002
-3.9998 -3.99994 2.00003
-3.99971 -3.99992 2.00005
-3.99961 -3.99989 2.00006
-3.99947 -3.99985 2.00009
-3.99931 -3.9998 2.00011
-3.99912 -3.99974 2.00015
-3.99888 -3.99967 2.00019
-3.99861 -3.99959 2.00023
-3.99829 -3.99949 2.00029
-3.99792 -3.99938 2.00035
-3.99749 -3.99925 2.00042
-3.99701 -3.9991 2.0005
-3.99646 -3.99894 2.00059
-3.99585 -3.99875 2.00069
-3.99516 -3.99854 2.00081
-3.99439 -3.99831 2.00094
-3.99354 -3.99805 2.00108
-3.9926 -3.99777 2.00124
-3.99157 -3.99746 2.00141
-3.99044 -3.99711 2.0016
-3.98921 -3.99674 2.0018
-3.98787 -3.99633 2.00202
-3.98642 -3.99589 2.00226
-3.98485 -3.99541 2.00252
-3.98316 -3.9949 2.0028
-3.98135 -3.99434 2.0031
-3.9794 -3.99375 2.00342
-3.97731 -3.99311 2.00377
-3.97509 -3.99243 2.00413
-3.97271 -3.9917 2.00452
-3.97019 -3.99093 2.00494
-3.96751 -3.99011 2.00537
-3.96468 -3.98923 2.00584
-3.96168 -3.98831 2.00633
-3.95851 -3.98733 2.00685
-3.95517 -3.9863 2.00739
-3.95165 -3.98522 2.00796
-3.94796 -3.98408 2.00856
-3.94408 -3.98288 2.00919
-3.94001 -3.98162 2.00985
-3.93575 -3.9803 2.01054
-3.9313 -3.97892 2.01126
-3.92665 -3.97747 2.01201
-3.9218 -3.97596 2.01279
-3.91675 -3.97439 2.0136
-3.91149 -3.97275 2.01444
-3.90602 -3.97104 2.01532
-3.90034 -3.96926 2.01623
-3.89444 -3.96742 2.01717
-3.88833 -3.9655 2.01815
-3.88199 -3.96351 2.01915
-3.87544 -3.96145 2.02019
-3.86866 -3.95932 2.02127
-3.86166 -3.95711 2.02237
-3.85443 -3.95483 2.02352
-3.84697 -3.95248 2.02469
-3.83928 -3.95005 2.0259
-3.83136 -3.94754 2.02714
-3.82321 -3.94495 2.02842
-3.81483 -3.94229 2.02973
-3.80622 -3.93955 2.03107
-3.79737 -3.93673 2.03245
-3.78829 -3.93383 2.03386
-3.77897 -3.93085 2.0353
-3.76942 -3.9278 2.03677
-3.75963 -3.92466 2.03828
-3.74962 -3.92144 2.03982
-3.73937 -3.91815 2.04139
-3.72888 -3.91477 2.04299
-3.71817 -3.91131 2.04463
-3.70722 -3.90777 2.04629
-3.69604 -3.90416 2.04799
-3.68464 -3.90046 2.04972
-3.673 -3.89668 2.05147
-3.66114 -3.89282 2.05325
-3.64906 -3.88888 2.05507
-3.63676 -3.88486 2.05691
-3.62423 -3.88076 2.05877
-3.61148 -3.87658 2.06067
-3.59852 -3.87233 2.06259
-3.58535 -3.86799 2.06453
-3.57196 -3.86358 2.0665
-3.55837 -3.85908 2.06849
-3.54456 -3.85451 2.07051
-3.53056 -3.84987 2.07255
-3.51636 -3.84515 2.07461
-3.50195 -3.84035 2.07669
-3.48736 -3.83548 2.07879
-3.47257 -3.83053 2.08091
-3.4576 -3.82551 2.08305
-3.44244 -3.82041 2.0852
