t wx wy wz ax ay az

0.0 0.00483938 -0.00198124 0.0142446 -0.151554 -0.227065 10.1151
0.001 0.0189186 0.00701439 0.00853999 -0.290646 -0.246778 9.9038
0.002 -0.00752474 0.00555506 0.000270815 -0.308331 -0.185768 9.99101
0.003 0.00919797 0.0219349 0.00149442 -0.0327489 -0.04283 10.1428
0.004 0.0153955 -0.00140598 -0.00823754 -0.1622 -0.423963 9.75225
0.005 0.00934719 0.00555044 0.0155112 -0.105277 -0.0300216 9.73543
0.006 8.7273e-05 -0.00771943 0.0120615 -0.231273 -0.269501 10.085
0.007 0.000428583 0.000981079 0.00496469 -0.167211 -0.157933 9.94548
0.008 0.00514981 0.00599919 -0.00764816 -0.250897 -0.370144 10.1069
0.009 -0.000725148 0.00353904 -0.00837845 -0.167209 -0.173159 9.86251
0.01 0.00881488 0.00334718 -0.00118342 -0.190586 -0.362041 9.64416
0.011 -0.0322111 -0.00840368 -0.00939945 -0.187923 0.00848059 9.9395
0.012 -0.0176027 0.00142362 -0.0299836 -0.0851119 0.162656 9.99933
0.013 0.00277406 0.00880347 0.00062511 -0.379355 0.0433146 9.95455
0.014 0.00935675 0.00500503 -0.00868869 -0.0914421 -0.179461 9.80079
0.015 -0.0226906 -0.00830976 0.0151472 -0.243947 -0.160529 9.88735
0.016 -0.00487969 -0.0162523 -0.00991518 -0.357248 0.00529185 9.96324
0.017 -0.0113927 0.00106035 -0.00291353 -0.305653 -0.17432 9.62494
0.018 0.0190904 -0.0176312 -0.0126306 -0.329394 -0.17956 9.66149
0.019 -0.00669307 0.00712575 -0.000477108 -0.364977 -0.139543 9.81319
0.02 0.00346306 0.0148625 -0.00303118 -0.24931 -0.384058 9.7882
0.021 0.0169226 0.0238838 0.00775151 -0.140822 -0.238776 9.85799
0.022 -0.000319902 0.00367422 0.00227316 -0.117303 -0.339928 9.91544
0.023 0.00311288 0.0185111 -0.000309665 -0.44503 -0.180743 9.93702
0.024 -0.0134765 0.00388863 0.00437401 -0.113303 -0.0470798 9.88559
0.025 -0.0176239 0.00199835 0.0166928 -0.304061 -0.272053 9.74418
0.026 0.0124995 0.0179228 0.00138934 -0.419839 -0.0601301 9.82063
0.027 0.00746951 0.000777749 -0.00814873 -0.364741 -0.179285 9.91395
0.028 -0.00818245 0.0249922 -0.00516974 -0.272753 -0.270152 9.83956
0.029 0.0140384 0.0174721 0.00181848 -0.224874 -0.0413739 9.92141
0.03 0.0135822 -0.013428 -0.00240588 -0.187027 -0.112066 9.86833
0.031 0.00277859 0.00373205 -0.00189362 -0.175545 -0.241974 9.86428
0.032 -0.00826415 -0.000126014 -0.0103441 -0.260185 -0.0493756 9.60078
0.033 0.00435562 0.00481603 -0.00498441 -0.28325 -0.120556 9.88005
0.034 0.00690212 -0.018311 -0.00571647 -0.0196548 -0.236152 9.70101
0.035 -0.0101683 0.00482229 0.00334594 -0.197291 -0.288742 9.89999
0.036 -0.0109486 0.0308921 0.00465117 -0.317338 -0.193688 9.75178
0.037 -0.00988466 -0.00148785 0.0102619 -0.350261 -0.172616 9.70986
0.038 -0.00437994 -0.00790807 0.000252894 -0.464078 -0.219681 9.96155
0.039 0.00130483 -0.0184899 0.00455832 -0.0725307 -0.439763 10.0444
0.04 -0.00502971 0.0381833 -0.00229383 -0.180427 -0.0805002 10.0627
0.041 0.008737 -0.00766234 0.00203915 -0.228032 -0.147242 9.81632
0.042 0.00102562 -0.00410274 -0.00212564 -0.27889 -0.248476 9.83976
0.043 0.0112952 0.0135953 -0.00516332 -0.26347 -0.182328 9.59318
0.044 -0.00166527 0.00361442 0.0178908 -0.136334 -0.194153 9.91062
0.045 -0.00494991 0.0191359 0.00288181 -0.367526 -0.0863835 9.80477
0.046 0.0262708 0.00584091 -0.0088536 -0.411746 -0.125445 9.78025
0.047 -0.00860752 -0.00530712 0.014035 -0.248554 -0.191815 9.90303
0.048 0.0228332 0.0288043 0.0105157 -0.151096 0.0306837 9.85894
0.049 -0.0122417 0.00556896 -0.00234406 -0.397389 -0.223348 9.75693
0.05 -0.024919 -0.00331762 0.00074022 -0.136508 -0.213261 9.82923
0.051 -0.0104713 0.0136748 -0.00267227 -0.381533 -0.101523 9.72724
0.052 0.0190171 0.0208998 -0.0275205 -0.283886 -0.201537 9.85361
0.053 -0.0037891 0.0244751 -0.00542192 -0.19521 -0.252736 10.0318
0.054 -0.00299911 -0.000843039 -0.00239238 0.0422154 -0.118437 9.91479
0.055 -0.00742778 0.015319 0.012997 -0.207182 -0.325256 10.0908
0.057 0.014793 0.00705369 -0.00405628 -0.354722 -0.237713 9.95017
0.058 0.00142957 -0.0215892 0.00696961 -0.338085 -0.0763206 10.0431
0.059 -0.00505098 -0.000147655 0.00111384 -0.434456 -0.0620861 9.7397
0.06 0.00717655 0.00778223 0.0116538 0.0778568 -0.155428 9.94733
0.061 0.00222545 0.0134959 -0.0157353 -0.216063 -0.267771 9.94571
0.062 -0.0124393 0.00868885 -0.0147926 -0.183278 -0.191839 9.9404
0.063 0.0162006 -0.00933195 -0.0116771 -0.186825 -0.195097 10.0396
0.064 -0.0151886 -0.00262361 -0.0111995 -0.138749 -0.251428 9.81706
0.065 -0.0176416 -0.00884273 0.00066894 -0.315017 -0.255622 9.8441
0.066 -0.00219423 0.00909026 0.00127862 -0.00737852 -0.0719841 10.1162
0.067 -0.0100836 0.0116048 -0.0140348 -0.415343 -0.382599 9.62585
0.068 -0.00155645 -0.0087754 0.0134376 -0.289842 -0.299518 9.89918
0.069 0.00798857 0.00204875 0.00155244 0.0240785 -0.344797 9.94981
0.07 0.0101406 0.0146133 0.0111418 -0.192728 -0.1637 9.77683
0.071 0.0149778 0.0213333 0.000130332 -0.328364 -0.0966815 9.68928
0.072 0.00607438 -0.00331604 0.00325482 -0.526002 -0.411536 9.98295
0.073 0.0076385 0.00344327 0.010789 0.0459952 -0.0218534 9.98251
0.074 0.00310231 -0.0102357 0.00194829 -0.2802 -0.107039 9.90808
0.075 -0.010659 0.011393 0.0086584 -0.208953 -0.111822 9.84135
