t x y z yaw pitch roll vx vy vz wx wy wz

0.0 -4.00001 -4 2 0.75 -3.43438e-10 5.90107e-11 -1.84376e-10 1.1195e-09 -9.00414e-10 -4.07027e-08 8.94758e-09 1.92311e-09
0.01 -4.00001 -4 2 0.75 -5.10006e-11 -2.11858e-10 -1.98947e-10 1.10861e-09 6.30002e-11 -3.62352e-08 -1.1157e-10 1.84927e-09
0.02 -4.00001 -4 2 0.75 1.17777e-10 -3.98523e-10 -1.97739e-10 1.1269e-09 8.55351e-10 -2.01791e-08 4.23911e-10 1.47871e-09
0.03 -4.00001 -4 2 0.75 1.83789e-10 -4.12262e-10 -2.13893e-10 1.17787e-09 1.52123e-09 8.86881e-09 6.73459e-09 7.17953e-10
0.04 -4.00001 -4 2 0.75 8.95562e-11 -1.47017e-10 -2.25418e-10 1.21929e-09 2.00929e-09 3.91856e-08 1.48207e-08 -1.87982e-10
0.05 -4.00001 -4 2 0.75 -1.17586e-10 3.41669e-10 -2.20131e-10 1.22133e-09 4.07365e-09 5.65291e-08 2.01864e-08 -7.02762e-10
0.06 -4.00001 -4 2 0.75 -3.50916e-10 8.71445e-10 -1.97053e-10 1.17223e-09 6.66101e-09 6.25742e-08 2.06779e-08 -8.89079e-10
0.07 -4.00001 -4 2 0.75 -6.35957e-10 1.38367e-09 -1.35254e-10 1.05048e-09 7.68282e-09 4.92618e-08 6.19225e-09 -9.48058e-10
0.081 -4.00001 -4 2 0.75 -9.61232e-10 1.57145e-09 -7.38096e-11 8.62781e-10 6.66647e-09 1.6636e-08 -2.52187e-08 -9.94944e-10
0.09 -4.00001 -4 2 0.75 -1.20889e-09 1.32911e-09 -4.37753e-11 6.92218e-10 5.87473e-09 -1.51223e-08 -4.77099e-08 -1.43243e-09
0.101 -4.00001 -4 2 0.75 -1.41485e-09 5.01891e-10 -6.68798e-11 4.86337e-10 5.52782e-09 -5.76529e-08 -6.77357e-08 -2.25273e-09
0.113 -4.00001 -4 2 0.75 -1.44918e-09 -5.48117e-10 -1.61399e-10 3.65137e-10 6.0943e-09 -7.25288e-08 -6.32978e-08 -2.27372e-09
0.12 -4.00001 -4 2 0.75 -1.37644e-09 -1.27586e-09 -2.87039e-10 3.3517e-10 6.62831e-09 -7.19396e-08 -4.81481e-08 -1.93545e-09
