x y z

-4 -4 2
-4 -4 2
-4 -4 2
-4 -4 2
-3.99999 -4 2
-3.99998 -3.99999 2
-3.99995 -3.99998 1.99999
-3.99991 -3.99996 1.99999
-3.99986 -3.99994 1.99998
-3.99977 -3.99991 1.99997
-3.99966 -3.99986 1.99996
-3.99951 -3.9998 1.99994
-3.99932 -3.99972 1.99992
-3.99908 -3.99961 1.99989
-3.99878 -3.99949 1.99986
-3.99842 -3.99934 1.99982
-3.99799 -3.99916 1.99977
-3.99748 -3.99895 1.99971
-3.99688 -3.9987 1.99964
-3.99619 -3.99841 1.99956
-3.99539 -3.99808 1.99947
-3.99449 -3.99771 1.99936
-3.99347 -3.99729 1.99924
-3.99233 -3.99681 1.99911
-3.99105 -3.99629 1.99896
-3.98964 -3.9957 1.99879
-3.98807 -3.99506 1.99861
-3.98636 -3.99435 1.99841
-3.98448 -3.99358 1.99819
-3.98244 -3.99274 1.99795
-3.98022 -3.99183 1.99769
-3.97782 -3.99085 1.9974
-3.97524 -3.98979 1.9971
-3.97246 -3.98865 1.99677
-3.96948 -3.98743 1.99642
-3.96631 -3.98613 1.99604
-3.96292 -3.98475 1.99564
-3.95932 -3.98328 1.99522
-3.9555 -3.98173 1.99476
-3.95146 -3.98008 1.99428
-3.9472 -3.97835 1.99378
-3.9427 -3.97652 1.99324
-3.93797 -3.9746 1.99268
-3.93301 -3.97259 1.99209
-3.92781 -3.97048 1.99147
-3.92236 -3.96828 1.99082
-3.91667 -3.96598 1.99014
-3.91074 -3.96358 1.98943
-3.90456 -3.96109 1.98869
-3.89814 -3.95849 1.98792
-3.89146 -3.9558 1.98712
-3.88454 -3.95301 1.98629
-3.87736 -3.95013 1.98543
-3.86993 -3.94714 1.98454
-3.86226 -3.94406 1.98362
-3.85433 -3.94088 1.98266
-3.84615 -3.9376 1.98168
-3.83773 -3.93422 1.98067
-3.82905 -3.93075 1.97963
-3.82013 -3.92718 1.97856
-3.81097 -3.92351 1.97745
-3.80156 -3.91975 1.97632
-3.79191 -3.9159 1.97516
-3.78201 -3.91195 1.97397
-3.77188 -3.90791 1.97276
-3.76152 -3.90377 1.97151
-3.75092 -3.89955 1.97024
-3.74009 -3.89523 1.96894
-3.72903 -3.89083 1.96761
-3.71775 -3.88633 1.96626
-3.70625 -3.88176 1.96488
-3.69453 -3.87709 1.96347
-3.68259 -3.87234 1.96205
-3.67044 -3.86751 1.96059
-3.65808 -3.86259 1.95912
-3.64551 -3.85759 1.95762
-3.63274 -3.85251 1.95609
-3.61978 -3.84736 1.95455
-3.60662 -3.84212 1.95299
-3.59327 -3.83681 1.9514
-3.57973 -3.83142 1.9498
-3.566 -3.82596 1.94817
-3.5521 -3.82042 1.94653
-3.53803 -3.81481 1.94487
-3.52378 -3.80914 1.94319
-3.50936 -3.80339 1.9415
-3.49478 -3.79757 1.93979
-3.48004 -3.79169 1.93807
-3.46514 -3.78573 1.93633
-3.4501 -3.77972 1.93458
-3.4349 -3.77364 1.93282
-3.41956 -3.76749 1.93105
-3.40408 -3.76129 1.92926
-3.38847 -3.75502 1.92747
-3.37272 -3.74869 1.92566
-3.35685 -3.74231 1.92385
-3.34085 -3.73586 1.92203
-3.32473 -3.72936 1.9202
-3.3085 -3.72281 1.91837
-3.29216 -3.71619 1.91653
-3.2757 -3.70953 1.91469
-3.25914 -3.70281 1.91284
-3.24249 -3.69604 1.91099
-3.22573 -3.68921 1.90914
-3.20888 -3.68234 1.90728
-3.19194 -3.67541 1.90543
-3.17492 -3.66844 1.90357
-3.15781 -3.66142 1.90172
-3.14063 -3.65435 1.89987
-3.12336 -3.64724 1.89801
-3.10603 -3.64007 1.89616
-3.08863 -3.63287 1.89432
-3.07116 -3.62562 1.89248
-3.05363 -3.61832 1.89064
-3.03605 -3.61098 1.88881
-3.0184 -3.6036 1.88698
-3.00071 -3.59618 1.88516
-2.98296 -3.58872 1.88335
-2.96517 -3.58121 1.88154
-2.94733 -3.57367 1.87975
-2.92945 -3.56608 1.87796
-2.91154 -3.55846 1.87618
-2.89359 -3.5508 1.87441
-2.87561 -3.5431 1.87265
-2.85759 -3.53537 1.8709
-2.83955 -3.52759 1.86916
-2.82149 -3.51979 1.86744
-2.8034 -3.51194 1.86572
-2.7853 -3.50407 1.86402
-2.76717 -3.49615 1.86233
-2.74903 -3.48821 1.86065
-2.73088 -3.48023 1.85899
-2.71272 -3.47222 1.85734
-2.69455 -3.46417 1.85571
-2.67637 -3.4561 1.85409
-2.65818 -3.44799 1.85248
-2.64 -3.43986 1.85089
-2.62181 -3.43169 1.84931
-2.60362 -3.42349 1.84775
-2.58544 -3.41527 1.8462
-2.56726 -3.40702 1.84467
-2.54909 -3.39874 1.84315
-2.53092 -3.39043 1.84165
-2.51277 -3.38209 1.84017
-2.49462 -3.37373 1.8387
-2.47649 -3.36535 1.83724
-2.45837 -3.35694 1.8358
-2.44027 -3.34851 1.83438
-2.42218 -3.34005 1.83298
-2.40411 -3.33157 1.83158
-2.38606 -3.32307 1.83021
-2.36803 -3.31454 1.82885
-2.35003 -3.306 1.82751
-2.33204 -3.29744 1.82618
-2.31408 -3.28885 1.82486
-2.29614 -3.28025 1.82356
-2.27823 -3.27163 1.82228
-2.26034 -3.26299 1.82101
-2.24249 -3.25433 1.81976
-2.22466 -3.24566 1.81852
-2.20686 -3.23698 1.81729
-2.18908 -3.22828 1.81608
-2.17135 -3.21956 1.81488
-2.15364 -3.21084 1.81369
-2.13596 -3.2021 1.81252
-2.11832 -3.19335 1.81136
-2.10071 -3.18459 1.81022
-2.08313 -3.17582 1.80908
-2.06559 -3.16704 1.80796
-2.04809 -3.15826 1.80685
-2.03062 -3.14946 1.80575
-2.01318 -3.14066 1.80466
-1.99579 -3.13186 1.80358
-1.97843 -3.12305 1.80251
-1.96111 -3.11424 1.80145
-1.94383 -3.10543 1.8004
-1.92658 -3.09661 1.79936
-1.90938 -3.08779 1.79833
-1.89221 -3.07898 1.7973
-1.87508 -3.07016 1.79629
-1.858 -3.06135 1.79528
-1.84095 -3.05254 1.79428
-1.82395 -3.04374 1.79328
-1.80699 -3.03494 1.79229
-1.79006 -3.02615 1.79131
-1.77318 -3.01737 1.79033
-1.75634 -3.00859 1.78936
-1.73955 -2.99982 1.78839
-1.72279 -2.99107 1.78743
-1.70608 -2.98232 1.78647
-1.68942 -2.97359 1.78551
-1.67279 -2.96487 1.78456
-1.65621 -2.95617 1.78361
-1.63967 -2.94748 1.78266
-1.62318 -2.93881 1.78171
-1.60673 -2.93016 1.78076
-1.59033 -2.92153 1.77982
-1.57397 -2.91291 1.77887
