t wx wy wz ax ay az yaw pitch roll

0.0 0.00397667 -0.021776 -0.00144271 -0.405882 -0.354701 9.88024 -8.10829e-10 1.67752e-09 -3.57195e-10
0.001 -0.0145742 -0.0145497 0.00181785 -0.166699 -0.185985 10.0295 -8.13101e-10 1.69286e-09 -2.45243e-10
0.002 -0.00497407 0.00149822 -0.00453042 -0.0784564 -0.0592624 9.81185 -8.15333e-10 1.70759e-09 -1.32095e-10
0.003 -0.00723468 0.0155287 0.00802072 -0.0699759 -0.0105974 9.97154 -8.17521e-10 1.72165e-09 -1.80428e-11
0.004 0.00160136 0.0156483 -0.00529528 -0.320752 -0.0573474 9.56629 -8.19664e-10 1.73494e-09 9.66343e-11
0.005 -0.0134417 -0.00999947 -0.0093193 -0.438612 -0.0931677 10.228 -8.21758e-10 1.74738e-09 2.11689e-10
0.006 -0.0136857 0.0160468 -0.000254296 -0.381366 -0.353733 9.72522 -8.23801e-10 1.75893e-09 3.26885e-10
0.007 -0.00775936 -0.0139275 0.00758324 -0.0730339 -0.0224294 9.77371 -8.25791e-10 1.76955e-09 4.41985e-10
0.008 -0.00328751 0.00842583 -0.0042735 -0.251475 -0.185461 10.0243 -8.27725e-10 1.77921e-09 5.56783e-10
0.009 -0.00938107 0.00744065 -0.0102484 0.0348502 0.105914 9.9954 -8.29601e-10 1.78786e-09 6.7107e-10
0.011 -0.00843029 -0.000289088 -0.0144146 -0.167581 -0.0532981 10.0528 -8.33171e-10 1.80204e-09 8.97392e-10
0.012 0.000390953 0.0331488 -0.00983371 -0.158304 -0.318997 9.73421 -8.34861e-10 1.80748e-09 1.00909e-09
0.013 -0.00384824 0.00622745 -0.00397945 -0.218805 -0.0786744 9.77708 -8.36485e-10 1.81179e-09 1.1196e-09
0.014 -0.0158441 0.0142968 0.000445761 -0.198959 -0.413174 10.1671 -8.38041e-10 1.81493e-09 1.22878e-09
0.015 -0.000231372 0.0106094 -0.0251974 -0.345863 0.00583737 10.005 -8.39528e-10 1.81686e-09 1.33651e-09
0.016 -0.0108924 0.0171092 0.003928 -0.1548 -0.161591 9.86482 -8.40943e-10 1.81756e-09 1.44264e-09
0.017 0.0108706 0.000576393 -0.00885222 0.00201348 0.027922 9.94661 -8.42291e-10 1.81708e-09 1.54691e-09
