t x y z yaw pitch roll vx vy vz wx wy wz

0.0 -7.03049e-06 3.82293e-10 4 3.14159 3.14159 3.14159 1.17994e-09 4.51289e-10 2.37643e-09 1.11951e-07 1.53363e-08 -2.27189e-09
0.005 -7.03049e-06 3.82293e-10 4 3.14159 3.14159 3.14159 1.17994e-09 4.51289e-10 2.37643e-09 1.11951e-07 1.53363e-08 -2.27189e-09
0.01 -7.03048e-06 3.85473e-10 4 3.14159 3.14159 -3.14159 1.2853e-09 4.48307e-10 2.18479e-09 1.14796e-07 9.65548e-09 -1.93403e-09
0.015 -7.03047e-06 3.87202e-10 4 3.14159 3.14159 -3.14159 1.35252e-09 4.20264e-10 2.20966e-09 1.11695e-07 5.44566e-09 -1.68993e-09
0.02 -7.03047e-06 3.88773e-10 4 3.14159 3.14159 -3.14159 1.42283e-09 3.73843e-10 2.2768e-09 1.06137e-07 7.00438e-10 -1.41564e-09
0.025 -7.03046e-06 3.90404e-10 4 3.14159 3.14159 -3.14159 1.51181e-09 2.90962e-10 2.12811e-09 9.41837e-08 -4.78185e-09 -1.09967e-09
0.03 -7.03045e-06 3.91545e-10 4 3.14159 3.14159 -3.14159 1.61163e-09 1.8329e-10 1.60869e-09 7.64942e-08 -9.92121e-09 -8.40084e-10
0.035 -7.03044e-06 3.92087e-10 4 3.14159 3.14159 -3.14159 1.72264e-09 5.59427e-11 7.66734e-10 5.43422e-08 -1.27652e-08 -6.28577e-10
0.04 -7.03043e-06 3.91944e-10 4 3.14159 3.14159 -3.14159 1.81437e-09 -8.64455e-11 -3.51429e-10 2.85388e-08 -1.51235e-08 -4.55565e-10
0.045 -7.03042e-06 3.91061e-10 4 3.14159 3.14159 -3.14159 1.89583e-09 -2.37172e-10 -1.70403e-09 -1.65633e-10 -1.73334e-08 -3.13862e-10
0.05 -7.03041e-06 3.89419e-10 4 3.14159 3.14159 -3.14159 1.97075e-09 -3.88915e-10 -3.25418e-09 -3.11225e-08 -1.92559e-08 -1.97882e-10
0.055 -7.0304e-06 3.87036e-10 4 3.14159 3.14159 -3.14159 2.0343e-09 -5.33662e-10 -4.96979e-09 -6.38927e-08 -2.05849e-08 -1.03263e-10
0.06 -7.03039e-06 3.83971e-10 4 3.14159 3.14159 -3.14159 2.08836e-09 -6.63114e-10 -6.77672e-09 -9.72472e-08 -2.192e-08 -2.19803e-11
