x y z

-7.02986e-06 -9.09283e-11 4
-7.01438e-06 -3.38404e-10 4
-6.78423e-06 -4.00039e-09 4
-5.79841e-06 -1.95255e-08 4
-3.17605e-06 -6.0371e-08 4
2.28614e-06 -1.4449e-07 3.99999
1.20969e-05 -2.93838e-07 3.99999
2.80539e-05 -5.33903e-07 3.99999
5.22275e-05 -8.93245e-07 3.99999
8.69449e-05 -1.40307e-06 3.99998
0.000134775 -2.09681e-06 3.99997
0.000198513 -3.00972e-06 3.99996
0.000281166 -4.17851e-06 3.99995
0.00038594 -5.64097e-06 3.99993
0.000516222 -7.43565e-06 3.99991
0.000675574 -9.60151e-06 3.99988
0.000867711 -1.21776e-05 3.99985
0.00109649 -1.52028e-05 3.99981
0.00136592 -1.87155e-05 3.99977
0.0016801 -2.27534e-05 3.99972
0.00204325 -2.73532e-05 3.99966
0.0024597 -3.25505e-05 3.99959
0.00293386 -3.83792e-05 3.99951
0.00347019 -4.4872e-05 3.99942
0.00407326 -5.20593e-05 3.99932
0.00474766 -5.997e-05 3.99921
0.00549804 -6.86305e-05 3.99909
0.00632908 -7.80651e-05 3.99896
0.00724551 -8.82956e-05 3.99881
0.00825203 -9.93413e-05 3.99864
0.00935341 -0.000111219 3.99847
0.0105544 -0.000123942 3.99827
0.0118597 -0.000137522 3.99806
0.013274 -0.000151966 3.99784
0.0148021 -0.000167281 3.99759
0.0164486 -0.000183468 3.99733
0.0182182 -0.000200526 3.99704
0.0201155 -0.000218451 3.99674
0.022145 -0.000237236 3.99642
0.0243112 -0.000256871 3.99607
0.0266186 -0.000277342 3.99571
0.0290716 -0.000298632 3.99532
0.0316744 -0.000320723 3.99491
0.0344314 -0.000343591 3.99447
0.0373466 -0.00036721 3.99402
0.0404242 -0.000391551 3.99353
0.0436681 -0.000416583 3.99303
0.0470823 -0.00044227 3.99249
0.0506706 -0.000468576 3.99193
0.0544366 -0.000495459 3.99135
0.058384 -0.000522875 3.99073
0.0625164 -0.00055078 3.99009
0.066837 -0.000579124 3.98943
0.0713493 -0.000607856 3.98873
0.0760563 -0.000636923 3.98801
0.0809612 -0.000666269 3.98725
0.0860669 -0.000695836 3.98647
0.0913763 -0.000725562 3.98566
0.096892 -0.000755387 3.98482
0.102617 -0.000785246 3.98395
0.108553 -0.000815072 3.98305
0.114703 -0.000844798 3.98211
0.121069 -0.000874354 3.98115
0.127653 -0.00090367 3.98016
0.134457 -0.000932673 3.97914
0.141483 -0.00096129 3.97808
0.148733 -0.000989445 3.977
0.156209 -0.00101706 3.97588
0.163911 -0.00104407 3.97474
0.171841 -0.00107038 3.97356
0.180001 -0.00109593 3.97235
0.188391 -0.00112062 3.97111
0.197012 -0.00114439 3.96984
0.205866 -0.00116716 3.96853
0.214953 -0.00118884 3.9672
0.224273 -0.00120935 3.96584
0.233828 -0.00122861 3.96444
0.243617 -0.00124655 3.96302
0.253641 -0.00126309 3.96156
0.263899 -0.00127814 3.96008
0.274392 -0.00129163 3.95856
0.285121 -0.00130347 3.95701
0.296083 -0.0013136 3.95544
0.30728 -0.00132192 3.95383
0.31871 -0.00132838 3.9522
0.330373 -0.00133288 3.95054
0.342269 -0.00133536 3.94885
0.354397 -0.00133574 3.94713
0.366755 -0.00133395 3.94538
0.379343 -0.00132991 3.9436
0.392159 -0.00132356 3.9418
0.405203 -0.00131482 3.93997
0.418473 -0.00130362 3.93812
0.431968 -0.0012899 3.93624
0.445686 -0.0012736 3.93433
0.459626 -0.00125463 3.93239
0.473785 -0.00123295 3.93044
