t wx wy wz ax ay az

0.0 -0.18578 0.0289335 -0.0711827 -0.000683668 -0.00382097 13.3551
0.001 -0.185911 0.0285332 -0.0717416 -0.000680975 -0.00383242 13.3516
0.002 -0.186037 0.0281341 -0.0723013 -0.000678494 -0.0038442 13.3483
0.003 -0.186153 0.027734 -0.0728616 -0.000675851 -0.00385544 13.3441
0.004 -0.186262 0.0273327 -0.0734205 -0.000673296 -0.00386685 13.34
0.005 -0.186362 0.02693 -0.0739817 -0.00067079 -0.00387842 13.3358
0.006 -0.186455 0.0265271 -0.0745435 -0.000668292 -0.00389011 13.3317
0.007 -0.186541 0.0261218 -0.0751068 -0.00066576 -0.00390192 13.3275
0.008 -0.186619 0.0257152 -0.0756714 -0.00066315 -0.00391383 13.3234
0.009 -0.186691 0.025305 -0.076238 -0.000660425 -0.00392579 13.3192
0.01 -0.186755 0.0248922 -0.0768056 -0.000657549 -0.00393778 13.3151
0.011 -0.186811 0.0244775 -0.0773718 -0.00065449 -0.00394977 13.311
0.012 -0.186858 0.0240581 -0.0779412 -0.000651221 -0.00396173 13.3069
0.013 -0.186899 0.0236338 -0.0785098 -0.000647718 -0.00397361 13.3027
0.014 -0.18693 0.0232034 -0.0790795 -0.000643965 -0.00398541 13.2986
0.015 -0.18695 0.0227676 -0.0796493 -0.000639951 -0.00399708 13.2945
0.016 -0.186962 0.0223258 -0.080223 -0.000635671 -0.00400861 13.2904
0.017 -0.186963 0.0218772 -0.0807962 -0.000631126 -0.00401998 13.2863
0.018 -0.186954 0.0214214 -0.0813676 -0.000626324 -0.00403118 13.2822
0.019 -0.186933 0.0209579 -0.0819416 -0.000621279 -0.00404221 13.2781
0.02 -0.186901 0.0204843 -0.0825182 -0.00061601 -0.00405306 13.2741
0.021 -0.186854 0.0200003 -0.0830947 -0.000610539 -0.00406375 13.27
0.022 -0.186795 0.0195057 -0.083673 -0.000604896 -0.00407428 13.2659
0.023 -0.186723 0.0190025 -0.0842508 -0.000599113 -0.00408468 13.2618
0.024 -0.186638 0.0184886 -0.0848301 -0.000593227 -0.00409498 13.2578
0.025 -0.186537 0.0179673 -0.0854081 -0.000587275 -0.00410522 13.2537
0.026 -0.186425 0.0174341 -0.0859864 -0.000581295 -0.00411544 13.2497
0.027 -0.186299 0.0168919 -0.0865694 -0.000575322 -0.00412567 13.2456
0.028 -0.186159 0.0163432 -0.0871535 -0.000569393 -0.00413596 13.2416
0.029 -0.186005 0.0157863 -0.0877366 -0.000563543 -0.00414635 13.2376
0.03 -0.18584 0.0152229 -0.0883207 -0.000557801 -0.00415688 13.2335
0.031 -0.185665 0.0146524 -0.0889042 -0.000552196 -0.0041676 13.2295
0.032 -0.185476 0.0140735 -0.0894898 -0.000546754 -0.00417857 13.2255
0.033 -0.185278 0.013493 -0.0900779 -0.000541493 -0.00418981 13.2215
0.034 -0.18507 0.0129063 -0.0906665 -0.00053643 -0.00420138 13.2174
0.035 -0.184856 0.012317 -0.0912547 -0.000531573 -0.0042133 13.2134
0.036 -0.184633 0.0117235 -0.0918449 -0.000526927 -0.00422561 13.2094
