t x y z yaw pitch roll vx vy vz wx wy wz

0.0 -4.00001 -4 2 0.75 -1.43163e-09 -1.20128e-09 -6.28257e-11 7.57229e-11 -2.3601e-09 2.64601e-08 5.9994e-08 -1.44754e-09
0.007 -4.00001 -4 2 0.75 -1.25834e-09 -6.93699e-10 -1.79393e-10 6.67135e-11 -3.24906e-09 4.18442e-08 7.07711e-08 -1.21824e-09
0.018 -4.00001 -4 2 0.75 -1.05105e-09 1.95744e-10 -2.73793e-10 1.58793e-12 -3.47096e-09 4.74546e-08 6.3943e-08 -5.75697e-10
0.027 -4.00001 -4 2 0.75 -9.59278e-10 7.98431e-10 -3.02678e-10 -9.29767e-11 -4.16861e-09 3.52683e-08 4.26492e-08 -1.22196e-10
0.037 -4.00001 -4 2 0.75 -9.18419e-10 1.11795e-09 -2.90486e-10 -2.47656e-10 -6.33311e-09 2.68457e-09 4.28412e-09 1.20193e-10
0.047 -4.00001 -4 2 0.75 -9.20739e-10 9.83924e-10 -2.75161e-10 -3.78628e-10 -6.71876e-09 -1.91878e-08 -1.96e-08 2.51231e-10
0.057 -4.00001 -4 2 0.75 -9.43904e-10 6.04634e-10 -2.72391e-10 -5.06614e-10 -4.79439e-09 -3.04578e-08 -3.26085e-08 3.5668e-10
0.067 -4.00001 -4 2 0.75 -9.76137e-10 1.13712e-10 -2.99716e-10 -6.04566e-10 -1.72107e-09 -3.56814e-08 -3.78506e-08 4.20923e-10
0.077 -4.00001 -4 2 0.75 -1.01147e-09 -4.23911e-10 -3.76127e-10 -6.63208e-10 1.76376e-09 -3.71336e-08 -3.95153e-08 4.37037e-10
0.087 -4.00001 -4 2 0.75 -1.04749e-09 -8.80148e-10 -4.92408e-10 -6.79827e-10 3.28897e-09 -2.29191e-08 -2.61222e-08 3.128e-10
0.097 -4.00001 -4 2 0.75 -1.07709e-09 -1.02544e-09 -6.24088e-10 -6.72897e-10 2.98444e-09 1.64928e-09 -2.19627e-09 3.29855e-10
0.108 -4.00001 -4 2 0.75 -1.06587e-09 -7.77103e-10 -7.73949e-10 -6.73326e-10 2.80707e-09 2.64436e-08 3.22309e-08 8.57095e-10
0.119 -4.00001 -4 2 0.75 -8.98888e-10 9.46601e-12 -9.03469e-10 -7.07593e-10 2.79818e-09 4.82707e-08 7.45152e-08 1.78579e-09
0.127 -4.00001 -4 2 0.75 -6.70225e-10 8.32841e-10 -9.41362e-10 -7.65675e-10 2.73871e-09 6.08667e-08 1.02999e-07 2.45431e-09
0.137 -4.00001 -4 2 0.75 -2.74511e-10 2.02347e-09 -8.86126e-10 -8.9356e-10 2.15228e-09 5.5853e-08 1.11047e-07 2.85712e-09
0.149 -4.00001 -4 2 0.75 2.29707e-10 3.12257e-09 -6.96523e-10 -1.10457e-09 4.09018e-10 2.74897e-08 9.02651e-08 3.09139e-09
0.157 -4.00001 -4 2 0.75 6.63481e-10 3.63837e-09 -4.40833e-10 -1.31218e-09 -1.83801e-09 -6.90707e-09 6.05354e-08 3.21833e-09
0.167 -4.00001 -4 2 0.75 1.10969e-09 3.69726e-09 -1.48514e-10 -1.51199e-09 -4.6847e-09 -4.73907e-08 2.40833e-08 3.26696e-09
0.177 -4.00001 -4 2 0.75 1.57111e-09 3.2354e-09 1.93744e-10 -1.68504e-09 -7.85123e-09 -7.53001e-08 -1.46349e-08 3.35437e-09
0.187 -4.00001 -4 2 0.75 1.8854e-09 2.33853e-09 5.55924e-10 -1.782e-09 -1.13793e-08 -7.93793e-08 -5.06775e-08 3.50443e-09
0.199 -4.00001 -4 2 0.75 1.91811e-09 1.20645e-09 8.82736e-10 -1.7808e-09 -1.35013e-08 -6.02922e-08 -6.80239e-08 3.20136e-09
0.207 -4.00001 -4 2 0.75 1.78304e-09 5.49212e-10 1.05085e-09 -1.72978e-09 -1.4073e-08 -3.87006e-08 -6.78375e-08 2.69736e-09
0.217 -4.00001 -4 2 0.75 1.45051e-09 -4.90147e-11 1.18732e-09 -1.62738e-09 -1.44684e-08 -6.03057e-09 -6.22222e-08 1.85896e-09
0.227 -4.00001 -4 2 0.75 9.96531e-10 -3.27453e-10 1.25622e-09 -1.52638e-09 -1.4736e-08 2.63279e-08 -5.42358e-08 8.93821e-10
0.237 -4.00001 -4 2 0.75 2.67885e-10 -3.0097e-10 1.28191e-09 -1.43403e-09 -1.46401e-08 6.13633e-08 -3.93475e-08 1.19346e-10
0.247 -4.00001 -4 2 0.75 -4.38873e-10 4.09639e-11 1.27036e-09 -1.41839e-09 -1.39717e-08 8.1353e-08 -1.90625e-08 2.23976e-10
0.258 -4.00001 -4 2 0.75 -1.09421e-09 5.60804e-10 1.24226e-09 -1.48654e-09 -1.29847e-08 8.06389e-08 -9.48512e-09 1.03343e-10
0.267 -4.00001 -4 2 0.75 -1.65681e-09 1.02267e-09 1.1968e-09 -1.63462e-09 -1.2074e-08 6.33246e-08 -1.08912e-08 -3.97289e-10
0.277 -4.00001 -4 2 0.75 -2.09529e-09 1.2828e-09 1.14459e-09 -1.84496e-09 -1.14424e-08 3.61554e-08 -1.74961e-08 -1.24404e-09
0.288 -4.00001 -4 2 0.75 -2.40615e-09 1.2412e-09 1.06577e-09 -2.12006e-09 -1.10803e-08 -7.84796e-10 -2.862e-08 -2.21003e-09
0.298 -4.00001 -4 2 0.75 -2.5219e-09 8.45844e-10 9.81891e-10 -2.3781e-09 -1.09988e-08 -3.82214e-08 -4.08775e-08 -3.11937e-09
0.307 -4.00001 -4 2 0.75 -2.47851e-09 1.8374e-10 8.61689e-10 -2.57601e-09 -1.09419e-08 -7.0237e-08 -4.97581e-08 -3.89234e-09
0.317 -4.00001 -4 2 0.75 -2.30857e-09 -6.26723e-10 6.93707e-10 -2.71359e-09 -1.03826e-08 -8.31476e-08 -4.37797e-08 -4.06041e-09
0.327 -4.00001 -4 2 0.75 -1.94391e-09 -1.54279e-09 4.43256e-10 -2.7844e-09 -9.78726e-09 -8.08177e-08 -2.07886e-08 -3.81895e-09
0.337 -4.00001 -4 2 0.75 -1.5405e-09 -2.04725e-09 2.13052e-10 -2.76821e-09 -1.05445e-08 -6.20863e-08 8.02043e-09 -3.52658e-09
0.347 -4.00001 -4 2 0.75 -9.72438e-10 -2.15668e-09 -4.17114e-11 -2.68578e-09 -1.26963e-08 -2.48908e-08 5.04011e-08 -3.25307e-09
0.358 -4.00001 -4 2 0.75 -4.52464e-10 -1.74603e-09 -2.349e-10 -2.57791e-09 -1.3774e-08 1.05067e-08 7.68662e-08 -3.56427e-09
0.367 -4.00001 -4 2 0.75 -2.10016e-11 -9.31611e-10 -3.53891e-10 -2.47792e-09 -1.4225e-08 4.64499e-08 9.46602e-08 -4.33559e-09
0.379 -4.00001 -4 2 0.75 3.30282e-10 4.41012e-10 -3.67453e-10 -2.42214e-09 -1.3908e-08 7.29578e-08 9.85389e-08 -4.78697e-09
0.387 -4.00001 -4 2 0.75 4.61833e-10 1.38853e-09 -2.92472e-10 -2.44626e-09 -1.33757e-08 7.637e-08 8.69595e-08 -4.54989e-09
0.4 -4.00001 -4 2 0.75 5.2009e-10 2.57651e-09 -6.77936e-11 -2.57971e-09 -1.39054e-08 5.86845e-08 5.48234e-08 -4.081e-09
0.407 -4.00001 -4 2 0.75 5.02474e-10 3.01148e-09 9.60046e-11 -2.69831e-09 -1.51484e-08 3.76843e-08 2.92424e-08 -3.88903e-09
0.417 -4.00001 -4 2 0.75 4.17881e-10 3.21889e-09 3.5254e-10 -2.89543e-09 -1.67675e-08 9.09495e-09 -9.12713e-09 -3.543e-09
