x y z

-4 -4 2
-4 -4 2
-4 -4 2
-4 -4 2
-4 -4 2
-4 -3.99999 2
-4 -3.99998 1.99999
-4 -3.99996 1.99999
-4 -3.99993 1.99998
-4 -3.99989 1.99997
-4.00001 -3.99983 1.99996
-4.00001 -3.99975 1.99994
-4.00001 -3.99965 1.99992
-4.00001 -3.99952 1.99988
-4.00002 -3.99937 1.99985
-4.00002 -3.99917 1.9998
-4.00002 -3.99894 1.99974
-4.00003 -3.99867 1.99968
-4.00003 -3.99835 1.9996
-4.00003 -3.99797 1.99951
-4.00003 -3.99754 1.9994
-4.00003 -3.99704 1.99928
-4.00003 -3.99647 1.99915
-4.00003 -3.99584 1.99899
-4.00002 -3.99512 1.99882
-4.00001 -3.99432 1.99862
-4 -3.99344 1.99841
-3.99999 -3.99246 1.99817
-3.99997 -3.99138 1.9979
-3.99995 -3.99019 1.99762
-3.99992 -3.9889 1.9973
-3.99988 -3.98749 1.99696
-3.99984 -3.98597 1.99659
-3.9998 -3.98431 1.99618
-3.99974 -3.98253 1.99575
-3.99967 -3.98062 1.99528
-3.9996 -3.97856 1.99478
-3.99951 -3.97636 1.99424
-3.99941 -3.97401 1.99367
-3.99931 -3.97151 1.99306
-3.99918 -3.96885 1.9924
-3.99905 -3.96603 1.99171
-3.99889 -3.96304 1.99098
-3.99873 -3.95988 1.99021
-3.99854 -3.95654 1.98939
-3.99834 -3.95303 1.98853
-3.99812 -3.94933 1.98762
-3.99788 -3.94544 1.98667
-3.99762 -3.94137 1.98567
-3.99734 -3.9371 1.98462
-3.99703 -3.93263 1.98353
-3.9967 -3.92796 1.98238
-3.99635 -3.92309 1.98118
-3.99597 -3.91802 1.97994
-3.99556 -3.91273 1.97864
-3.99513 -3.90723 1.97729
-3.99467 -3.90152 1.97588
-3.99418 -3.8956 1.97443
-3.99366 -3.88945 1.97291
-3.9931 -3.88309 1.97135
-3.99252 -3.87651 1.96973
-3.9919 -3.8697 1.96805
-3.99125 -3.86266 1.96632
-3.99057 -3.85541 1.96453
-3.98984 -3.84792 1.96268
-3.98909 -3.84021 1.96078
-3.98829 -3.83226 1.95882
-3.98746 -3.82409 1.9568
-3.98659 -3.81569 1.95473
-3.98568 -3.80706 1.9526
-3.98473 -3.7982 1.95041
-3.98373 -3.78911 1.94817
-3.9827 -3.7798 1.94586
-3.98163 -3.77025 1.9435
-3.98051 -3.76047 1.94108
-3.97935 -3.75047 1.93861
-3.97815 -3.74024 1.93608
-3.9769 -3.72978 1.93349
-3.97561 -3.71911 1.93085
-3.97427 -3.7082 1.92815
-3.97288 -3.69708 1.92539
-3.97145 -3.68574 1.92258
-3.96998 -3.67418 1.91971
-3.96845 -3.6624 1.91679
-3.96688 -3.65042 1.91382
-3.96527 -3.63822 1.91079
-3.9636 -3.62581 1.90771
-3.96189 -3.61319 1.90458
-3.96012 -3.60038 1.9014
-3.95831 -3.58736 1.89816
-3.95645 -3.57415 1.89488
-3.95455 -3.56074 1.89154
-3.95259 -3.54714 1.88816
-3.95058 -3.53335 1.88473
-3.94852 -3.51938 1.88125
-3.94642 -3.50523 1.87772
-3.94426 -3.4909 1.87415
-3.94206 -3.4764 1.87054
-3.9398 -3.46174 1.86688
-3.9375 -3.44691 1.86318
-3.93514 -3.43191 1.85944
-3.93274 -3.41677 1.85566
-3.93028 -3.40147 1.85183
-3.92778 -3.38602 1.84797
-3.92523 -3.37043 1.84408
-3.92262 -3.3547 1.84014
-3.91997 -3.33884 1.83617
-3.91727 -3.32286 1.83217
-3.91452 -3.30674 1.82813
-3.91172 -3.29051 1.82406
-3.90887 -3.27417 1.81996
-3.90598 -3.25772 1.81583
-3.90303 -3.24116 1.81168
-3.90004 -3.22451 1.80749
-3.897 -3.20777 1.80328
-3.89391 -3.19093 1.79905
-3.89077 -3.17402 1.79479
-3.88759 -3.15703 1.79051
-3.88436 -3.13996 1.78621
-3.88108 -3.12283 1.78189
-3.87776 -3.10564 1.77755
-3.87439 -3.0884 1.77319
-3.87098 -3.0711 1.76882
-3.86752 -3.05376 1.76443
-3.86401 -3.03638 1.76003
-3.86046 -3.01897 1.75562
-3.85687 -3.00153 1.7512
-3.85323 -2.98407 1.74677
-3.84955 -2.96659 1.74233
-3.84582 -2.94909 1.73788
-3.84205 -2.9316 1.73343
-3.83824 -2.9141 1.72897
-3.83439 -2.89661 1.72452
-3.83049 -2.87912 1.72006
-3.82656 -2.86165 1.71559
-3.82258 -2.8442 1.71113
-3.81857 -2.82678 1.70668
-3.81451 -2.80939 1.70222
-3.81041 -2.79204 1.69777
-3.80628 -2.77472 1.69333
-3.8021 -2.75745 1.68889
-3.79789 -2.74024 1.68446
-3.79364 -2.72307 1.68004
-3.78935 -2.70597 1.67563
-3.78503 -2.68894 1.67123
-3.78066 -2.67197 1.66685
-3.77627 -2.65508 1.66248
-3.77183 -2.63827 1.65812
-3.76737 -2.62155 1.65378
-3.76286 -2.60491 1.64946
-3.75833 -2.58836 1.64515
-3.75376 -2.57191 1.64087
-3.74916 -2.55556 1.6366
-3.74452 -2.53931 1.63235
-3.73985 -2.52318 1.62813
-3.73515 -2.50715 1.62393
-3.73042 -2.49124 1.61975
-3.72566 -2.47545 1.6156
-3.72087 -2.45979 1.61148
-3.71605 -2.44425 1.60738
-3.71121 -2.42883 1.6033
-3.70633 -2.41355 1.59926
-3.70142 -2.39841 1.59524
-3.69649 -2.38341 1.59126
-3.69153 -2.36854 1.5873
-3.68655 -2.35382 1.58337
-3.68154 -2.33925 1.57948
-3.6765 -2.32482 1.57562
-3.67144 -2.31055 1.57179
-3.66636 -2.29643 1.56799
-3.66125 -2.28246 1.56423
-3.65612 -2.26865 1.5605
-3.65097 -2.255 1.55681
-3.64579 -2.24151 1.55315
-3.6406 -2.22819 1.54953
-3.63538 -2.21502 1.54594
-3.63015 -2.20202 1.54239
-3.62489 -2.18919 1.53888
-3.61962 -2.17652 1.5354
-3.61432 -2.16402 1.53196
-3.60902 -2.15169 1.52856
-3.60369 -2.13953 1.52519
-3.59835 -2.12754 1.52186
-3.59299 -2.11572 1.51857
-3.58762 -2.10407 1.51532
-3.58223 -2.09259 1.51211
-3.57683 -2.08128 1.50893
-3.57142 -2.07014 1.5058
-3.56599 -2.05918 1.5027
-3.56056 -2.04838 1.49963
-3.55511 -2.03775 1.49661
-3.54965 -2.02729 1.49363
-3.54418 -2.017 1.49068
-3.53871 -2.00688 1.48777
-3.53322 -1.99693 1.4849
-3.52773 -1.98714 1.48206
-3.52223 -1.97752 1.47926
-3.51673 -1.96806 1.4765
-3.51122 -1.95876 1.47377
